num,neutral,positive,negative,skip,mark,adj,caps_lock,exclamation_mark,label
60,0.8031837940216064,0.0,0.15611489117145538,0.0,0,6,0,0,ЛОЖЬ
61,0.607673168182373,0.0,0.18714269995689392,0.0,0,1,0,0,ЛОЖЬ
62,0.607673168182373,0.14415885508060455,0.0,0.0,0,0,0,2,ЛОЖЬ
63,0.607673168182373,0.0,0.14415885508060455,0.0,0,0,0,4,ЛОЖЬ
64,0.3923468291759491,0.0,0.287777841091156,0.0,2,2,0,2,ЛОЖЬ
65,0.4532718360424042,0.0,0.20690405368804932,0.0,3,6,0,0,ЛОЖЬ
66,0.44553956389427185,0.0,0.287777841091156,0.0,1,1,0,0,ЛОЖЬ
67,0.585111141204834,0.0,0.20182321965694427,0.0,4,0,0,2,ЛОЖЬ
68,0.7490972280502319,0.0,0.14034625887870789,0.0,0,1,0,1,ЛОЖЬ
69,0.5544804334640503,0.0,0.20182321965694427,0.0,1,1,0,2,ЛОЖЬ
70,0.5078218579292297,0.0,0.1732981950044632,0.0,0,2,0,2,ЛОЖЬ
71,0.6150978803634644,0.0,0.14805719256401062,0.0,2,1,0,18,ЛОЖЬ
72,0.4532718360424042,0.0,0.23371636867523193,0.0,1,2,0,0,ЛОЖЬ
73,0.4532718360424042,0.0,0.3276783227920532,0.0,0,0,0,0,ЛОЖЬ
74,0.546748161315918,0.0,0.2689514458179474,0.0,3,0,0,0,ЛОЖЬ
75,0.4921981394290924,0.0,0.1968362182378769,0.0,1,4,1,4,ЛОЖЬ
76,0.4532718360424042,0.0,0.29422497749328613,0.0,2,5,0,1,ЛОЖЬ
77,0.41490885615348816,0.0,0.2568419873714447,0.0,2,1,0,1,ЛОЖЬ
78,0.44553956389427185,0.0,0.3276783227920532,0.0,2,2,0,0,ЛОЖЬ
79,0.6224693655967712,0.0,0.16027602553367615,0.0,2,2,0,4,ЛОЖЬ
80,0.1824355274438858,0.0,0.6297846436500549,0.0,0,1,2,10,ЛОЖЬ
81,0.6654205918312073,0.0,0.320831298828125,0.0,9,9,0,0,ЛОЖЬ
82,0.607673168182373,0.0,0.20182321965694427,0.0,1,1,0,0,ЛОЖЬ
83,0.3702353835105896,0.0,0.22271016240119934,0.0,0,0,0,1,ЛОЖЬ
84,0.40734341740608215,0.0,0.3140605390071869,0.0,0,0,0,0,ЛОЖЬ
85,0.5775054097175598,0.0,0.24509501457214355,0.0,0,0,0,3,ЛОЖЬ
86,0.4532718360424042,0.0,0.1732981950044632,0.0,1,2,0,1,ЛОЖЬ
87,0.7186043858528137,0.0,0.20182321965694427,0.0,1,0,0,0,ЛОЖЬ
88,0.6297846436500549,0.0,0.16886694729328156,0.0,0,0,0,0,ЛОЖЬ
89,0.3775506913661957,0.0,0.287777841091156,0.0,1,0,0,0,ЛОЖЬ
90,0.6442351341247559,0.0,0.0,0.14415885508060455,0,0,0,5,ЛОЖЬ
91,0.7431780099868774,0.0,0.21734751760959625,0.0,0,0,0,0,ЛОЖЬ
92,0.6224693655967712,0.0,0.287777841091156,0.0,0,0,0,1,ЛОЖЬ
93,0.59267657995224,0.0,0.2509227991104126,0.0,4,1,0,0,ЛОЖЬ
94,0.4301573634147644,0.0,0.3276783227920532,0.0,11,0,0,1,ЛОЖЬ
95,0.41490885615348816,0.0,0.3007555902004242,0.0,1,1,0,0,ЛОЖЬ
96,0.44553956389427185,0.0,0.22816647589206696,0.0,1,2,0,0,ЛОЖЬ
97,0.585111141204834,0.0,0.2689514458179474,0.0,0,0,0,0,ЛОЖЬ
98,0.523430347442627,0.0,0.23935934901237488,0.0,2,1,0,0,ЛОЖЬ
99,0.3775506913661957,0.0,0.21734751760959625,0.0,0,0,0,0,ЛОЖЬ
100,0.59267657995224,0.0,0.23371636867523193,0.0,0,0,0,0,ЛОЖЬ
101,0.4688006341457367,0.0,0.24509501457214355,0.0,1,2,0,0,ЛОЖЬ
102,0.59267657995224,0.0,0.21207880973815918,0.0,3,1,0,0,ЛОЖЬ
103,0.46102678775787354,0.0,0.30736804008483887,0.0,3,1,0,0,ЛОЖЬ
104,0.46102678775787354,0.0,0.3276783227920532,0.0,5,3,0,0,ЛОЖЬ
105,0.5312193632125854,0.0,0.20182321965694427,0.0,13,0,0,0,ЛОЖЬ
106,0.4921981394290924,0.0,0.14034625887870789,0.0,4,3,0,6,ЛОЖЬ
107,0.5698626637458801,0.0,0.3140605390071869,0.0,1,0,0,10,ЛОЖЬ
108,0.59267657995224,0.0,0.1732981950044632,0.0,1,0,0,0,ЛОЖЬ
109,0.4765896201133728,0.0,0.21734751760959625,0.0,1,1,0,0,ЛОЖЬ
110,0.40734341740608215,0.0,0.24509501457214355,0.0,2,3,0,0,ЛОЖЬ
111,0.5698626637458801,0.0,0.3140605390071869,0.0,1,0,0,10,ЛОЖЬ
112,0.38492217659950256,0.0,0.348655104637146,0.0,2,0,1,0,ЛОЖЬ
113,0.6926519870758057,0.0,0.1259327530860901,0.0,0,0,0,4,ЛОЖЬ
114,0.6001983880996704,0.0,0.3629792034626007,0.0,0,0,1,0,ЛОЖЬ
115,0.6150978803634644,0.0,0.1732981950044632,0.0,1,0,0,1,ЛОЖЬ
116,0.607673168182373,0.0,0.1732981950044632,0.0,0,1,0,3,ЛОЖЬ
117,0.546748161315918,0.0,0.23371636867523193,0.0,0,2,0,0,ЛОЖЬ
118,0.5312193632125854,0.0,0.24509501457214355,0.0,0,1,0,2,ЛОЖЬ
119,0.607673168182373,0.0,0.14034625887870789,0.0,0,2,0,1,ЛОЖЬ
120,0.5312193632125854,0.0,0.275139719247818,0.0,0,0,0,0,ЛОЖЬ
121,0.585111141204834,0.0,0.20690405368804932,0.0,1,0,0,2,ЛОЖЬ
122,0.5544804334640503,0.0,0.18714269995689392,0.0,2,0,0,3,ЛОЖЬ
123,0.7371681928634644,0.0,0.1824355274438858,0.0,0,0,0,0,ЛОЖЬ
124,0.4301573634147644,0.0,0.29422497749328613,0.0,12,0,0,0,ЛОЖЬ
125,0.6791887283325195,0.0,0.21207880973815918,0.0,1,0,0,1,ЛОЖЬ
126,0.40734341740608215,0.0,0.3140605390071869,0.0,0,0,0,1,ЛОЖЬ
127,0.320831298828125,0.0,0.44553956389427185,0.0,3,0,0,0,ЛОЖЬ
128,0.7248802781105042,0.0,0.287777841091156,0.0,3,1,0,0,ЛОЖЬ
129,0.7057950496673584,0.0,0.29422497749328613,0.0,0,0,0,0,ЛОЖЬ
130,0.5000100135803223,0.0,0.3276783227920532,0.0,1,0,0,0,ЛОЖЬ
131,0.6370407938957214,0.0,0.1824355274438858,0.0,0,0,0,2,ЛОЖЬ
132,0.5078218579292297,0.0,0.24509501457214355,0.0,1,2,0,0,ЛОЖЬ
133,0.523430347442627,0.0,0.23371636867523193,0.0,0,0,0,0,ЛОЖЬ
134,0.607673168182373,0.0,0.20182321965694427,0.0,1,1,0,8,ЛОЖЬ
135,0.41490885615348816,0.0,0.320831298828125,0.0,0,0,0,0,ЛОЖЬ
136,0.5312193632125854,0.0,0.24509501457214355,0.0,0,0,0,0,ЛОЖЬ
137,0.523430347442627,0.0,0.348655104637146,0.0,0,2,0,0,ЛОЖЬ
138,0.4688006341457367,0.0,0.2689514458179474,0.0,0,2,0,0,ЛОЖЬ
139,0.59267657995224,0.0,0.1520422399044037,0.0,1,0,0,9,ЛОЖЬ
140,0.5698626637458801,0.0,0.3140605390071869,0.0,1,0,0,10,ЛОЖЬ
141,0.4225146472454071,0.1824355274438858,0.0,0.0,3,8,0,2,ЛОЖЬ
142,0.41490885615348816,0.0,0.30736804008483887,0.0,0,1,0,0,ЛОЖЬ
143,0.6150978803634644,0.0,0.1732981950044632,0.0,0,0,0,0,ЛОЖЬ
144,0.6442351341247559,0.0,0.21734751760959625,0.0,0,0,0,0,ЛОЖЬ
145,0.6224693655967712,0.0,0.20690405368804932,0.0,0,0,0,1,ЛОЖЬ
146,0.44553956389427185,0.0,0.23935934901237488,0.0,0,2,0,2,ЛОЖЬ
147,0.33459946513175964,0.0,0.3557848632335663,0.0,3,5,0,0,ЛОЖЬ
148,0.546748161315918,0.0,0.22271016240119934,0.0,0,0,0,0,ЛОЖЬ
149,0.4378334879875183,0.0,0.3629792034626007,0.0,0,1,0,0,ЛОЖЬ
150,0.5156299471855164,0.0,0.3276783227920532,0.0,2,0,0,0,ЛОЖЬ
151,0.5698626637458801,0.0,0.2689514458179474,0.0,0,3,0,6,ЛОЖЬ
152,0.4301573634147644,0.0,0.2814156115055084,0.0,0,0,0,0,ЛОЖЬ
153,0.7310686111450195,0.0,0.13661839067935944,0.0,1,0,0,0,ЛОЖЬ
154,0.4921981394290924,0.0,0.29422497749328613,0.0,1,0,0,0,ЛОЖЬ
155,0.59267657995224,0.0,0.19194278120994568,0.0,2,0,0,0,ЛОЖЬ
156,0.7490972280502319,0.0,0.21207880973815918,0.0,0,0,0,0,ЛОЖЬ
157,0.7606606483459473,0.0,0.19194278120994568,0.0,0,0,0,0,ЛОЖЬ
158,0.5698626637458801,0.0,0.2689514458179474,0.0,0,0,0,0,ЛОЖЬ
159,0.5078218579292297,0.0,0.30736804008483887,0.0,1,0,0,0,ЛОЖЬ
160,0.5078218579292297,0.0,0.2509227991104126,0.0,1,1,0,0,ЛОЖЬ
161,0.523430347442627,0.0,0.16886694729328156,0.0,0,0,0,0,ЛОЖЬ
162,0.59267657995224,0.0,0.19194278120994568,0.0,0,0,0,0,ЛОЖЬ
163,0.6791887283325195,0.0,0.10375863313674927,0.0,0,0,0,3,ЛОЖЬ
164,0.4921981394290924,0.0,0.22271016240119934,0.0,1,0,0,0,ЛОЖЬ
165,0.754925012588501,0.0,0.18714269995689392,0.0,0,0,0,0,ЛОЖЬ
166,0.6926519870758057,0.0,0.1824355274438858,0.0,7,0,0,0,ЛОЖЬ
167,0.44553956389427185,0.0,0.16886694729328156,0.0,0,0,0,5,ЛОЖЬ
168,0.4378334879875183,0.0,0.33459946513175964,0.0,0,0,0,1,ЛОЖЬ
169,0.5621865391731262,0.0,0.33459946513175964,0.0,1,0,0,1,ЛОЖЬ
170,0.7606606483459473,0.0,0.11597072333097458,0.0,0,0,0,0,ЛОЖЬ
171,0.5775054097175598,0.0,0.22816647589206696,0.0,1,1,0,0,ЛОЖЬ
172,0.7248802781105042,0.0,0.1259327530860901,0.0,0,0,0,5,ЛОЖЬ
173,0.7310686111450195,0.0,0.16886694729328156,0.0,1,2,0,11,ЛОЖЬ
174,0.41490885615348816,0.0,0.22816647589206696,0.0,0,0,0,0,ЛОЖЬ
175,0.3923468291759491,0.0,0.3276783227920532,0.0,3,4,0,5,ЛОЖЬ
176,0.4765896201133728,0.0,0.19194278120994568,0.0,0,1,0,1,ЛОЖЬ
177,0.5156299471855164,0.0,0.24509501457214355,0.0,0,0,0,0,ЛОЖЬ
178,0.7122421860694885,0.0,0.1778208613395691,0.0,0,1,0,0,ЛОЖЬ
179,0.538993239402771,0.0,0.23935934901237488,0.0,0,0,0,1,ЛОЖЬ
180,0.585111141204834,0.0,0.22816647589206696,0.0,0,0,0,0,ЛОЖЬ
181,0.7310686111450195,0.0,0.1732981950044632,0.0,0,2,0,0,ЛОЖЬ
182,0.40734341740608215,0.0,0.287777841091156,0.0,0,2,0,0,ЛОЖЬ
183,0.6791887283325195,0.0,0.14415885508060455,0.0,0,0,0,0,ЛОЖЬ
184,0.3998216390609741,0.0,0.1520422399044037,0.0,1,1,0,3,ЛОЖЬ
185,0.6001983880996704,0.0,0.275139719247818,0.0,0,0,0,0,ЛОЖЬ
186,0.3998216390609741,0.0,0.24509501457214355,0.0,0,0,0,0,ЛОЖЬ
187,0.3923468291759491,0.0,0.2814156115055084,0.0,4,1,0,0,ЛОЖЬ
188,0.4301573634147644,0.0,0.23371636867523193,0.0,2,1,0,1,ЛОЖЬ
189,0.7773098945617676,0.0,0.10375863313674927,0.0,0,0,0,0,ЛОЖЬ
190,0.5312193632125854,0.0,0.22816647589206696,0.0,0,1,0,2,ЛОЖЬ
191,0.3702353835105896,0.0,0.3276783227920532,0.0,1,1,0,1,ЛОЖЬ
192,0.6001983880996704,0.0,0.3629792034626007,0.0,0,0,1,0,ЛОЖЬ
193,0.4301573634147644,0.0,0.29422497749328613,0.0,12,0,0,0,ЛОЖЬ
194,0.6791887283325195,0.0,0.21207880973815918,0.0,1,0,0,1,ЛОЖЬ
195,0.40734341740608215,0.0,0.3140605390071869,0.0,0,0,0,1,ЛОЖЬ
196,0.320831298828125,0.0,0.44553956389427185,0.0,3,0,0,0,ЛОЖЬ
197,0.7248802781105042,0.0,0.287777841091156,0.0,3,1,0,0,ЛОЖЬ
198,0.7057950496673584,0.0,0.29422497749328613,0.0,0,0,0,0,ЛОЖЬ
199,0.5000100135803223,0.0,0.3276783227920532,0.0,1,0,0,0,ЛОЖЬ
200,0.6370407938957214,0.0,0.1824355274438858,0.0,0,0,0,2,ЛОЖЬ
201,0.5078218579292297,0.0,0.24509501457214355,0.0,1,2,0,0,ЛОЖЬ
202,0.523430347442627,0.0,0.23371636867523193,0.0,0,0,0,0,ЛОЖЬ
203,0.607673168182373,0.0,0.20182321965694427,0.0,1,1,0,8,ЛОЖЬ
204,0.41490885615348816,0.0,0.320831298828125,0.0,0,0,0,0,ЛОЖЬ
