,neutral,positive,negative,processing_models/mark,processing_models/adj,processing_models/caps_lock,processing_models/exclamation_mark,label
0,0.6859594583511353,0.053413331508636475,0.0,0.0,1.0,0.0,0.0,1
1,0.0,0.000000000000000000,0.0,0.0,1.0,0.0,0.0,1
2,0.0,0.000000000000000000,0.0,0.0,1.0,0.0,0.0,1
3,0.0,0.000000000000000000,0.0,0.0,1.0,0.0,0.0,0
4,0.0,0.000000000000000000,0.0,0.0,1.0,0.0,0.0,0
5,0.0,0.000000000000000000,0.0,0.0,1.0,0.0,0.0,1
