лицемер
педофил
педофилия
надругательство
убийца
извращенцы
безумец
лжец
диктатор
тоталитаризм
авторитаризм
дерьмо
хищник
коррупция
экстремист
проститутка
нацисты
фашисты
маньяк
пушка
трус
придурок
подонок
недочеловек
резня
насилие
